"Ano","Numero de Contribuições","Tipo de Contribuinte/Fonte","Quantidade de Contribuintes","Tipo de Contribuinte Resumo"
"2003","1","Empregado","1436314","Trabalhadores Empregados"
"2003","1","Outro Contr-Gps","325925","Outros Contribuintes"
"2003","1","Outro Contr-Gfip","410199","Outros Contribuintes"
"2003","1","Outro Contr-Gps-Gfip","1870","Outros Contribuintes"
"2003","1","Empregado e Outro Contr-Gps","1215","Ambos"
"2003","1","Empregado e Outro Contr-Gfip","748","Ambos"
"2003","1","Empregado e Outro Contr-Gps-Gfip","0","Ambos"
"2003","2","Empregado","1594425","Trabalhadores Empregados"
"2003","2","Outro Contr-Gps","243550","Outros Contribuintes"
"2003","2","Outro Contr-Gfip","217555","Outros Contribuintes"
"2003","2","Outro Contr-Gps-Gfip","9451","Outros Contribuintes"
"2003","2","Empregado e Outro Contr-Gps","6017","Ambos"
"2003","2","Empregado e Outro Contr-Gfip","11999","Ambos"
"2003","2","Empregado e Outro Contr-Gps-Gfip","88","Ambos"
"2003","3","Empregado","1547422","Trabalhadores Empregados"
"2003","3","Outro Contr-Gps","274903","Outros Contribuintes"
"2003","3","Outro Contr-Gfip","169814","Outros Contribuintes"
"2003","3","Outro Contr-Gps-Gfip","12963","Outros Contribuintes"
"2003","3","Empregado e Outro Contr-Gps","9538","Ambos"
"2003","3","Empregado e Outro Contr-Gfip","18863","Ambos"
"2003","3","Empregado e Outro Contr-Gps-Gfip","342","Ambos"
"2003","4","Empregado","1469544","Trabalhadores Empregados"
"2003","4","Outro Contr-Gps","259618","Outros Contribuintes"
"2003","4","Outro Contr-Gfip","144692","Outros Contribuintes"
"2003","4","Outro Contr-Gps-Gfip","21503","Outros Contribuintes"
"2003","4","Empregado e Outro Contr-Gps","12412","Ambos"
"2003","4","Empregado e Outro Contr-Gfip","24114","Ambos"
"2003","4","Empregado e Outro Contr-Gps-Gfip","776","Ambos"
"2003","5","Empregado","1432840","Trabalhadores Empregados"
"2003","5","Outro Contr-Gps","188876","Outros Contribuintes"
"2003","5","Outro Contr-Gfip","131721","Outros Contribuintes"
"2003","5","Outro Contr-Gps-Gfip","27059","Outros Contribuintes"
"2003","5","Empregado e Outro Contr-Gps","14242","Ambos"
"2003","5","Empregado e Outro Contr-Gfip","28275","Ambos"
"2003","5","Empregado e Outro Contr-Gps-Gfip","1193","Ambos"
"2003","6","Empregado","1467774","Trabalhadores Empregados"
"2003","6","Outro Contr-Gps","170555","Outros Contribuintes"
"2003","6","Outro Contr-Gfip","140310","Outros Contribuintes"
"2003","6","Outro Contr-Gps-Gfip","29711","Outros Contribuintes"
"2003","6","Empregado e Outro Contr-Gps","15668","Ambos"
"2003","6","Empregado e Outro Contr-Gfip","32048","Ambos"
"2003","6","Empregado e Outro Contr-Gps-Gfip","1733","Ambos"
"2003","7","Empregado","1488557","Trabalhadores Empregados"
"2003","7","Outro Contr-Gps","165563","Outros Contribuintes"
"2003","7","Outro Contr-Gfip","178294","Outros Contribuintes"
"2003","7","Outro Contr-Gps-Gfip","35398","Outros Contribuintes"
"2003","7","Empregado e Outro Contr-Gps","16441","Ambos"
"2003","7","Empregado e Outro Contr-Gfip","35524","Ambos"
"2003","7","Empregado e Outro Contr-Gps-Gfip","2362","Ambos"
"2003","8","Empregado","1470886","Trabalhadores Empregados"
"2003","8","Outro Contr-Gps","173794","Outros Contribuintes"
"2003","8","Outro Contr-Gfip","262733","Outros Contribuintes"
"2003","8","Outro Contr-Gps-Gfip","48334","Outros Contribuintes"
"2003","8","Empregado e Outro Contr-Gps","16469","Ambos"
"2003","8","Empregado e Outro Contr-Gfip","39215","Ambos"
"2003","8","Empregado e Outro Contr-Gps-Gfip","3531","Ambos"
"2003","9","Empregado","1564836","Trabalhadores Empregados"
"2003","9","Outro Contr-Gps","186563","Outros Contribuintes"
"2003","9","Outro Contr-Gfip","465433","Outros Contribuintes"
"2003","9","Outro Contr-Gps-Gfip","75735","Outros Contribuintes"
"2003","9","Empregado e Outro Contr-Gps","16573","Ambos"
"2003","9","Empregado e Outro Contr-Gfip","47196","Ambos"
"2003","9","Empregado e Outro Contr-Gps-Gfip","4654","Ambos"
"2003","10","Empregado","1746790","Trabalhadores Empregados"
"2003","10","Outro Contr-Gps","183986","Outros Contribuintes"
"2003","10","Outro Contr-Gfip","0","Outros Contribuintes"
"2003","10","Outro Contr-Gps-Gfip","153083","Outros Contribuintes"
"2003","10","Empregado e Outro Contr-Gps","17932","Ambos"
"2003","10","Empregado e Outro Contr-Gfip","37819","Ambos"
"2003","10","Empregado e Outro Contr-Gps-Gfip","6079","Ambos"
"2003","11","Empregado","2881045","Trabalhadores Empregados"
"2003","11","Outro Contr-Gps","364801","Outros Contribuintes"
"2003","11","Outro Contr-Gfip","0","Outros Contribuintes"
"2003","11","Outro Contr-Gps-Gfip","257718","Outros Contribuintes"
"2003","11","Empregado e Outro Contr-Gps","27299","Ambos"
"2003","11","Empregado e Outro Contr-Gfip","53085","Ambos"
"2003","11","Empregado e Outro Contr-Gps-Gfip","9729","Ambos"
"2003","12","Empregado","12436950","Trabalhadores Empregados"
"2003","12","Outro Contr-Gps","2166766","Outros Contribuintes"
"2003","12","Outro Contr-Gfip","0","Outros Contribuintes"
